Calories,Protein,Fat,Carbs,Fibre,Condition,IF,AND,OR,"Note: Protein, Fat, Carbs, Fibre, are measured in grams"
47,,3.4,3,4,FALSE,Healthy,Bad,,
145,5,2.1,24,3,TRUE,Not Healthy,Bad,,
362,10,11.9,36,20,TRUE,Not Healthy,Good,,
68,3,1.1,10,2,FALSE,Healthy,Bad,,
78,3,0,15,1,FALSE,Healthy,Bad,,
203,9,3.8,28,6,TRUE,Not Healthy,Good,,
255,10,3.8,41,6,TRUE,Not Healthy,Good,,
160,2,0.9,34,2,TRUE,Not Healthy,Bad,,
260,16,3.1,36,5,TRUE,Not Healthy,Good,,
104,6,3.8,7,6,FALSE,Healthy,Bad,,
296,8,4.2,53,7,TRUE,Not Healthy,Good,,
279,10,4.7,44,8,TRUE,Not Healthy,Good,,
166,9,1.6,28,3,TRUE,Not Healthy,Good,,
190,8,3.3,27,5,TRUE,Not Healthy,Good,,
62,2,1.1,11,2,FALSE,Healthy,Bad,,
122,10,1.6,15,3,FALSE,Healthy,Bad,,
15,1,0.2,2,,FALSE,Healthy,Bad,,
105,10,0.2,15,,FALSE,Healthy,Bad,,
13,1,,2,,FALSE,Healthy,Bad,,
178,9,6.3,13,10,TRUE,Healthy,Good,,
21,1,0.8,2,1,FALSE,Healthy,Bad,,
108,9,1.6,13,3,FALSE,Healthy,Bad,,
129,9,3.3,12,5,FALSE,Healthy,Bad,,
146,10,3.2,14,5,TRUE,Healthy,Good,,
86,8,0.1,13,,FALSE,Healthy,Bad,,
88,9,0.2,13,,FALSE,Healthy,Bad,,
155,8,5.4,12,8,TRUE,Healthy,Good,,
149,4,1.6,27,3,TRUE,Not Healthy,Bad,,
138,3,0.7,23,4,TRUE,Not Healthy,Bad,,
96,3,0.2,20,,FALSE,Healthy,Bad,,
160,4,1.2,32,2,TRUE,Not Healthy,Bad,,
161,2,1.2,22,7,TRUE,Not Healthy,Bad,,
118,2,0.6,19,4,FALSE,Healthy,Bad,,
88,2,0,20,,FALSE,Healthy,Bad,,
128,2,0.6,22,4,FALSE,Not Healthy,Bad,,
92,2,,22,,FALSE,Not Healthy,Bad,,
127,,0.2,26,2,FALSE,Not Healthy,Bad,,
5,1,,1,,FALSE,Healthy,Bad,,
22,,1.3,1,2,FALSE,Healthy,Bad,,
21,1,1,1,2,FALSE,Healthy,Bad,,
162,6,0.6,26,4,TRUE,Not Healthy,Good,,
110,7,0.5,13,4,FALSE,Healthy,Bad,,
85,7,0.5,4,4,FALSE,Healthy,Bad,,
28,,1.7,1,3,FALSE,Healthy,Bad,,
49,,3.3,,5,FALSE,Healthy,Bad,,
100,1,6.2,3,10,FALSE,Healthy,Bad,,
233,7,2.7,40,5,TRUE,Not Healthy,Good,,
114,10,1.8,13,3,FALSE,Healthy,Bad,,
129,9,3.3,12,5,FALSE,Healthy,Bad,,
79,8,0,11,,FALSE,Healthy,Bad,,
183,7,2.3,30,4,TRUE,Not Healthy,Good,,
116,8,,21,,FALSE,Not Healthy,Bad,,
94,7,0,16,,FALSE,Healthy,Bad,,
226,14,17,4,,TRUE,Healthy,Good,,
16,3,0,,,FALSE,Healthy,Bad,,
59,3,6,1,,FALSE,Healthy,Bad,,
173,12,14,2,,TRUE,Healthy,Good,,
78,6,5,1,,FALSE,Healthy,Bad,,
74,6,5,,,FALSE,Healthy,Bad,,
572,34,35,30,,TRUE,Not Healthy,Good,,
189,13,14,4,,TRUE,Healthy,Good,,
273,18,20,5,,TRUE,Healthy,Good,,
319,15,24,13,,TRUE,Healthy,Good,,
237,17,17,5,,TRUE,Healthy,Good,,
266,24,15,9,2.2,TRUE,Healthy,Good,,
483,27,18,52,0.4,TRUE,Not Healthy,Good,,
477,16,31,33,1.1,TRUE,Not Healthy,Good,,
289,17,13,27,1.5,TRUE,Not Healthy,Good,,
650,30,35,53,1.8,TRUE,Not Healthy,Good,,
319,15,15,32,1.3,TRUE,Not Healthy,Good,,
295,22,15,18,2.6,TRUE,Healthy,Good,,
200,21,9,10,2.2,TRUE,Healthy,Good,,
343,12,13,44,1.3,TRUE,Not Healthy,Good,,
632,29,39,42,2.2,TRUE,Not Healthy,Good,,
335,33,12,23,1.2,TRUE,Not Healthy,Good,,
283,22,17,9,0.3,TRUE,Healthy,Good,,
285,15,18,16,0.9,TRUE,Healthy,Good,,
270,26,9,23,4.9,TRUE,Not Healthy,Good,,
197,7,8,24,1.1,TRUE,Not Healthy,Good,,
310,22,7,37,2,TRUE,Not Healthy,Good,,
113,5,6,9,0.7,FALSE,Healthy,Bad,,
523,21,29,48,2.4,TRUE,Not Healthy,Good,,
236,3,12,29,2.5,TRUE,Not Healthy,Bad,,
192,5,8,26,1.5,TRUE,Not Healthy,Bad,,
806,50,62,8,0.6,TRUE,Healthy,Good,,
576,32,32,39,1.9,TRUE,Not Healthy,Good,,
275,12,12,31,1.3,TRUE,Not Healthy,Good,,
167,17,8,5,0.5,TRUE,Healthy,Good,,
242,10,15,18,0.9,TRUE,Healthy,Good,,
223,6,6,36,3.3,TRUE,Not Healthy,Good,,
195,6,5,31,0.2,TRUE,Not Healthy,Good,,
276,4,16,31,1.7,TRUE,Not Healthy,Bad,,
210,9,8,25,1.5,TRUE,Not Healthy,Good,,
219,11,9,23,1.4,TRUE,Not Healthy,Good,,
193,8,7,24,1.8,TRUE,Not Healthy,Good,,
250,11,12,24,1.9,TRUE,Not Healthy,Good,,
216,7,4,38,3.4,TRUE,Not Healthy,Good,,
456,22,19,51,3,TRUE,Not Healthy,Good,,
417,24,16,44,3.3,TRUE,Not Healthy,Good,,
584,30,28,55,2.9,TRUE,Not Healthy,Good,,
199,9,10,17,0.5,TRUE,Healthy,Good,,
359,19,19,28,4.5,TRUE,Not Healthy,Good,,
191,15,7,15,1,TRUE,Healthy,Good,,
532,32,25,44,3.5,TRUE,Not Healthy,Good,,
60,1,5,3,0.3,FALSE,Healthy,Bad,,
110,0,12,0,,FALSE,Healthy,Bad,,
17,,2,,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
117,0,13,0,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
125,0,14,0,,FALSE,Healthy,Bad,,
122,0,14,0,,FALSE,Healthy,Bad,,
122,0,14,0,,FALSE,Healthy,Bad,,
122,0,14,0,,FALSE,Healthy,Bad,,
121,0,14,0,,FALSE,Healthy,Bad,,
121,0,14,0,,FALSE,Healthy,Bad,,
122,0,14,0,,FALSE,Healthy,Bad,,
122,0,14,0,,FALSE,Healthy,Bad,,
122,0,14,0,,FALSE,Healthy,Bad,,
78,1,8,1,,FALSE,Healthy,Bad,,
15,1,1,,,FALSE,Healthy,Bad,,
79,,9,,,FALSE,Healthy,Bad,,
17,,1,3,,FALSE,Healthy,Bad,,
21,,,5,,FALSE,Healthy,Bad,,
72,,7,2,,FALSE,Healthy,Bad,,
33,,2,4,,FALSE,Healthy,Bad,,
43,,4,2,,FALSE,Healthy,Bad,,
11,,1,1,,FALSE,Healthy,Bad,,
100,,11,1,,FALSE,Healthy,Bad,,
51,,5,1,,FALSE,Healthy,Bad,,
7,,,1,,FALSE,Healthy,Bad,,
73,0,8,,,FALSE,Healthy,Bad,,
71,,8,1,,FALSE,Healthy,Bad,,
36,,3,3,,FALSE,Healthy,Bad,,
58,,5,4,,FALSE,Healthy,Bad,,
14,,,3,,FALSE,Healthy,Bad,,
44,0,4,2,,FALSE,Healthy,Bad,,
59,,6,2,,FALSE,Healthy,Bad,,
32,,2,3,,FALSE,Healthy,Bad,,
115,0,13,0,,FALSE,Healthy,Bad,,
34,,4,,,FALSE,Healthy,Bad,,
33,,4,,,FALSE,Healthy,Bad,,
17,2,1,0,,FALSE,Healthy,Bad,,
119,20,4,0,,FALSE,Healthy,Bad,,
110,18,4,0,,FALSE,Healthy,Bad,,
71,16,1,0,,FALSE,Healthy,Bad,,
156,14,7,9,,TRUE,Healthy,Good,,
114,14,6,0,,FALSE,Healthy,Bad,,
41,4,3,1,,FALSE,Healthy,Bad,,
98,17,3,0,,FALSE,Healthy,Bad,,
88,17,2,0,,FALSE,Healthy,Bad,,
89,15,1,3,,FALSE,Healthy,Bad,,
125,22,2,4,,FALSE,Healthy,Bad,,
79,17,1,0,,FALSE,Healthy,Bad,,
62,13,1,0,,FALSE,Healthy,Bad,,
93,12,5,,,FALSE,Healthy,Bad,,
71,15,1,0,,FALSE,Healthy,Bad,,
68,8,1,7,,FALSE,Healthy,Bad,,
72,15,1,0,,FALSE,Healthy,Bad,,
52,11,1,0,,FALSE,Healthy,Bad,,
240,16,12,15,,TRUE,Healthy,Good,,
265,22,15,9,,TRUE,Healthy,Good,,
227,13,10,20,,TRUE,Healthy,Good,,
63,7,1,6,,FALSE,Healthy,Bad,,
80,17,1,0,,FALSE,Healthy,Bad,,
84,18,1,0,,FALSE,Healthy,Bad,,
105,20,2,0,,FALSE,Healthy,Bad,,
163,18,9,0,,TRUE,Healthy,Good,,
75,16,,1,,FALSE,Healthy,Bad,,
197,18,13,0,,TRUE,Healthy,Good,,
129,18,3,6,,FALSE,Healthy,Bad,,
91,18,2,0,,FALSE,Healthy,Bad,,
58,6,2,3,,FALSE,Healthy,Bad,,
90,9,3,5,,FALSE,Healthy,Bad,,
50,4,1,5,,FALSE,Healthy,Bad,,
89,18,1,0,,FALSE,Healthy,Bad,,
71,16,1,0,,FALSE,Healthy,Bad,,
89,19,1,0,,FALSE,Healthy,Bad,,
155,17,9,0,,TRUE,Healthy,Good,,
116,19,4,0,,FALSE,Healthy,Bad,,
106,16,4,0,,FALSE,Healthy,Bad,,
106,16,4,0,,FALSE,Healthy,Bad,,
134,18,6,0,,FALSE,Healthy,Bad,,
116,24,9,0,,FALSE,Healthy,Bad,,
113,17,4,1,,FALSE,Healthy,Bad,,
102,17,4,0,,FALSE,Healthy,Bad,,
47,7,2,0,,FALSE,Healthy,Bad,,
47,7,2,0,,FALSE,Healthy,Bad,,
162,20,8,0,,TRUE,Healthy,Good,,
220,26,12,0,,TRUE,Healthy,Good,,
197,22,11,1,,TRUE,Healthy,Good,,
87,18,1,0,,FALSE,Healthy,Bad,,
30,6,,0,,FALSE,Healthy,Bad,,
160,14,8,8,,TRUE,Healthy,Good,,
201,17,10,10,,TRUE,Healthy,Good,,
96,20,1,0,,FALSE,Healthy,Bad,,
88,18,1,0,,FALSE,Healthy,Bad,,
127,18,5,0,,FALSE,Healthy,Bad,,
203,17,10,10,,TRUE,Healthy,Good,,
87,19,1,0,,FALSE,Healthy,Bad,,
149,22,6,0,,TRUE,Healthy,Good,,
92,15,3,0,,FALSE,Healthy,Bad,,
100,17,3,0,,FALSE,Healthy,Bad,,
59,,,15,0.1,FALSE,Healthy,Bad,,
72,,,19,2.6,FALSE,Healthy,Bad,,
55,,,15,1.5,FALSE,Healthy,Bad,,
67,1,,17,1.2,FALSE,Healthy,Bad,,
50,1,,12,2.1,FALSE,Healthy,Bad,,
161,2,15,9,6.7,TRUE,Healthy,Bad,,
105,1,,27,2.1,FALSE,Not Healthy,Bad,,
33,1,,7,4,FALSE,Healthy,Bad,,
42,,1,10,2.6,FALSE,Healthy,Bad,,
44,1,,11,2,FALSE,Healthy,Bad,,
43,1,,11,1.4,FALSE,Healthy,Bad,,
35,1,,9,1.3,FALSE,Healthy,Bad,,
95,,,25,1.8,FALSE,Not Healthy,Bad,,
76,0,,19,0.1,FALSE,Healthy,Bad,,
61,1,,16,0.1,FALSE,Healthy,Bad,,
24,,0,6,0.1,FALSE,Healthy,Bad,,
70,1,,19,2,FALSE,Healthy,Bad,,
42,1,,11,1.6,FALSE,Healthy,Bad,,
37,,,10,1.5,FALSE,Healthy,Bad,,
58,1,,15,1.3,FALSE,Healthy,Bad,,
73,1,,19,1.3,FALSE,Healthy,Bad,,
117,1,,30,1.8,FALSE,Not Healthy,Bad,,
70,1,,18,1.1,FALSE,Healthy,Bad,,
67,,,17,0.1,FALSE,Healthy,Bad,,
81,1,,20,0.1,FALSE,Healthy,Bad,,
50,1,,12,0.4,FALSE,Healthy,Bad,,
61,1,,15,0.1,FALSE,Healthy,Bad,,
52,1,,13,2,FALSE,Healthy,Bad,,
39,1,,10,2.1,FALSE,Healthy,Bad,,
69,1,,18,1.2,FALSE,Healthy,Bad,,
46,1,,11,2.3,FALSE,Healthy,Bad,,
3,,,1,0.1,FALSE,Healthy,Bad,,
3,,,1,0.1,FALSE,Healthy,Bad,,
63,1,,16,1.2,FALSE,Healthy,Bad,,
67,1,,18,1.9,FALSE,Healthy,Bad,,
29,1,,7,0.6,FALSE,Healthy,Bad,,
32,,,8,0.7,FALSE,Healthy,Bad,,
24,,,6,0.3,FALSE,Healthy,Bad,,
74,,,19,0.8,FALSE,Healthy,Bad,,
68,,,17,0.4,FALSE,Healthy,Bad,,
60,1,,14,2.3,FALSE,Healthy,Bad,,
62,1,,15,2.3,FALSE,Healthy,Bad,,
56,1,,13,0.1,FALSE,Healthy,Bad,,
59,1,,14,0.3,FALSE,Healthy,Bad,,
58,1,,13,0.3,FALSE,Healthy,Bad,,
58,1,,13,0.3,FALSE,Healthy,Bad,,
57,1,,15,0.2,FALSE,Healthy,Bad,,
29,,,7,1.3,FALSE,Healthy,Bad,,
38,1,,9,1.9,FALSE,Healthy,Bad,,
58,1,,15,1.7,FALSE,Healthy,Bad,,
72,1,,19,1.7,FALSE,Healthy,Bad,,
31,1,,8,1.7,FALSE,Healthy,Bad,,
96,1,,26,5,FALSE,Not Healthy,Bad,,
66,,,17,2.1,FALSE,Healthy,Bad,,
76,,,20,2.1,FALSE,Healthy,Bad,,
37,,,10,2,FALSE,Healthy,Bad,,
74,,,18,0.3,FALSE,Healthy,Bad,,
79,1,,21,1.2,FALSE,Not Healthy,Bad,,
